id,name,host_id,host_name,host_is_superhost,superhost_status,borough,neighbourhood,latitude,longitude,room_type,price,accommodates,price_per_guest,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_tier,price_category,availability_365,rating,listing_url
10011,Spacious Retreat in Financial District,1215,Ethan,f,Standard Host,Manhattan,Financial District,40.78374,-73.94433,Private room,133,1,133.0,3,19,2026-08-01,0.56,12,Multi-Listing Host (5+),Moderate ($100-$250),298,4.4,https://www.airbnb.com/rooms/10011
10012,Modern Room in Upper West Side,1126,Elena,t,Superhost,Manhattan,Upper West Side,40.8128,-73.95872,Entire home/apt,432,3,144.0,1,78,2026-03-28,8.56,2,Small Host (2-4),Luxury (>$250),64,4.94,https://www.airbnb.com/rooms/10012
10013,Sunny Flat in Chelsea,1136,Noah,f,Standard Host,Manhattan,Chelsea,40.78037,-73.98442,Private room,151,3,50.33,1,25,2026-08-01,1.33,1,Single Listing,Moderate ($100-$250),86,4.38,https://www.airbnb.com/rooms/10013
10014,Cozy Apartment in Park Slope,1021,Elena,t,Superhost,Brooklyn,Park Slope,40.66914,-73.92926,Private room,133,1,133.0,30,44,2026-04-04,1.3,3,Small Host (2-4),Moderate ($100-$250),100,4.95,https://www.airbnb.com/rooms/10014
10015,Minimalist Room in Greenpoint,1128,James,t,Superhost,Brooklyn,Greenpoint,40.6834,-73.96942,Private room,100,2,50.0,2,72,2026-05-29,5.67,3,Small Host (2-4),Moderate ($100-$250),152,4.91,https://www.airbnb.com/rooms/10015
10016,Cozy Brownstone Unit in Tribeca,1015,Emma,f,Standard Host,Manhattan,Tribeca,40.78688,-74.01673,Private room,248,1,248.0,1,36,2025-11-25,1.89,1,Single Listing,Moderate ($100-$250),305,4.39,https://www.airbnb.com/rooms/10016
10017,Boho Apartment in Tribeca,1101,Elena,f,Standard Host,Manhattan,Tribeca,40.76475,-74.01499,Private room,213,3,71.0,1,44,2026-06-14,1.63,4,Small Host (2-4),Moderate ($100-$250),350,4.47,https://www.airbnb.com/rooms/10017
10018,Sunny Loft in DUMBO,1108,Sophia,f,Standard Host,Brooklyn,DUMBO,40.66152,-73.98355,Entire home/apt,289,4,72.25,1,19,2026-05-29,0.68,1,Single Listing,Luxury (>$250),349,4.36,https://www.airbnb.com/rooms/10018
10019,Luxury Apartment in Jackson Heights,1076,Alex,t,Superhost,Queens,Jackson Heights,40.73066,-73.76915,Private room,46,3,15.33,7,71,2026-05-24,6.81,2,Small Host (2-4),Budget (<$100),64,4.96,https://www.airbnb.com/rooms/10019
10020,Bright Haven in Forest Hills,1063,Benjamin,t,Superhost,Queens,Forest Hills,40.69517,-73.80447,Entire home/apt,154,3,51.33,7,77,2026-06-29,2.35,3,Small Host (2-4),Moderate ($100-$250),238,4.95,https://www.airbnb.com/rooms/10020
10021,Quiet Brownstone Unit in Crown Heights,1249,Emily,t,Superhost,Brooklyn,Crown Heights,40.68898,-73.96122,Private room,101,1,101.0,2,61,2026-07-01,7.7,1,Single Listing,Moderate ($100-$250),222,4.9,https://www.airbnb.com/rooms/10021
10022,Cozy Brownstone Unit in Ridgewood,1295,Liam,f,Standard Host,Queens,Ridgewood,40.75149,-73.78928,Private room,62,3,20.67,2,18,2026-03-18,0.6,1,Single Listing,Budget (<$100),149,4.5,https://www.airbnb.com/rooms/10022
10023,Spacious Haven in Greenwich Village,1319,Ava,t,Superhost,Manhattan,Greenwich Village,40.77691,-74.00902,Private room,147,1,147.0,2,87,2026-05-08,5.5,1,Single Listing,Moderate ($100-$250),225,4.96,https://www.airbnb.com/rooms/10023
10024,Modern Room in Tribeca,1036,Sarah,f,Standard Host,Manhattan,Tribeca,40.78125,-73.92454,Entire home/apt,390,6,65.0,3,11,2026-07-21,0.38,2,Small Host (2-4),Luxury (>$250),68,4.55,https://www.airbnb.com/rooms/10024
10025,Chic Penthouse in Midtown,1193,Liam,f,Standard Host,Manhattan,Midtown,40.80672,-73.98252,Private room,79,1,79.0,2,15,2026-07-30,0.65,1,Single Listing,Budget (<$100),348,4.28,https://www.airbnb.com/rooms/10025
10026,Spacious Room in Greenwich Village,1326,Benjamin,f,Standard Host,Manhattan,Greenwich Village,40.76249,-73.96705,Shared room,63,2,31.5,1,53,2026-05-15,2.78,3,Small Host (2-4),Budget (<$100),135,4.4,https://www.airbnb.com/rooms/10026
10027,Bright Haven in Long Island City,1173,Alex,f,Standard Host,Queens,Long Island City,40.72832,-73.83387,Private room,45,1,45.0,2,16,2026-07-16,1.36,2,Small Host (2-4),Budget (<$100),294,4.45,https://www.airbnb.com/rooms/10027
10028,Bright Retreat in Brooklyn Heights,1208,Emily,t,Superhost,Brooklyn,Brooklyn Heights,40.68003,-73.94862,Entire home/apt,234,4,58.5,1,72,2026-07-15,5.1,1,Single Listing,Moderate ($100-$250),108,4.96,https://www.airbnb.com/rooms/10028
10029,Stunning Haven in Riverdale,1302,Noah,f,Standard Host,Bronx,Riverdale,40.85657,-73.83422,Entire home/apt,120,8,15.0,1,21,2026-05-10,0.84,1,Single Listing,Moderate ($100-$250),16,4.53,https://www.airbnb.com/rooms/10029
10030,Chic Brownstone Unit in Bedford-Stuyvesant,1059,Michael,f,Standard Host,Brooklyn,Bedford-Stuyvesant,40.66001,-73.92557,Private room,88,1,88.0,3,40,2026-05-07,4.19,1,Single Listing,Budget (<$100),326,4.46,https://www.airbnb.com/rooms/10030
10031,Bright Room in Brooklyn Heights,1292,Charlotte,t,Superhost,Brooklyn,Brooklyn Heights,40.66843,-73.91235,Entire home/apt,372,8,46.5,2,86,2026-05-23,4.71,1,Single Listing,Luxury (>$250),26,4.93,https://www.airbnb.com/rooms/10031
10032,Charming Brownstone Unit in Brooklyn Heights,1321,Ethan,f,Standard Host,Brooklyn,Brooklyn Heights,40.70296,-73.92776,Entire home/apt,223,6,37.17,1,25,2026-06-12,0.88,1,Single Listing,Moderate ($100-$250),73,4.57,https://www.airbnb.com/rooms/10032
10033,Modern Flat in Concourse,1222,Carlos,f,Standard Host,Bronx,Concourse,40.82401,-73.87014,Private room,52,1,52.0,2,85,2026-07-21,2.94,4,Small Host (2-4),Budget (<$100),236,4.1,https://www.airbnb.com/rooms/10033
10034,Cozy Retreat in Brooklyn Heights,1165,Emma,f,Standard Host,Brooklyn,Brooklyn Heights,40.71532,-73.91656,Entire home/apt,185,3,61.67,30,48,2026-07-09,3.11,3,Small Host (2-4),Moderate ($100-$250),216,4.52,https://www.airbnb.com/rooms/10034
10035,Spacious Haven in Williamsburg,1321,Benjamin,f,Standard Host,Brooklyn,Williamsburg,40.68726,-73.92231,Private room,43,1,43.0,2,25,2026-06-14,2.33,1,Single Listing,Budget (<$100),57,4.33,https://www.airbnb.com/rooms/10035
10036,Minimalist Retreat in Riverdale,1140,Sophia,f,Standard Host,Bronx,Riverdale,40.83085,-73.89656,Entire home/apt,104,8,13.0,4,15,2026-07-13,0.47,1,Single Listing,Moderate ($100-$250),222,4.43,https://www.airbnb.com/rooms/10036
10037,Boho Apartment in Midtown,1338,Mia,f,Standard Host,Manhattan,Midtown,40.77965,-73.95471,Private room,101,2,50.5,2,58,2026-07-10,3.17,1,Single Listing,Moderate ($100-$250),205,4.55,https://www.airbnb.com/rooms/10037
10038,Sunny Haven in Williamsburg,1052,Benjamin,t,Superhost,Brooklyn,Williamsburg,40.68041,-73.89872,Entire home/apt,439,6,73.17,2,128,2026-07-27,7.14,1,Single Listing,Luxury (>$250),283,4.96,https://www.airbnb.com/rooms/10038
10039,Spacious Flat in Astoria,1148,Emily,f,Standard Host,Queens,Astoria,40.71196,-73.80967,Private room,95,2,47.5,2,48,2026-06-17,4.63,1,Single Listing,Budget (<$100),102,4.42,https://www.airbnb.com/rooms/10039
10040,Stunning Room in Ridgewood,1119,Benjamin,f,Standard Host,Queens,Ridgewood,40.75286,-73.80926,Private room,43,2,21.5,1,44,2025-11-11,1.28,2,Small Host (2-4),Budget (<$100),227,4.43,https://www.airbnb.com/rooms/10040
10041,Luxury Flat in Greenwich Village,1184,Ethan,t,Superhost,Manhattan,Greenwich Village,40.78884,-73.97877,Entire home/apt,653,4,163.25,1,67,2026-05-04,2.02,1,Single Listing,Luxury (>$250),190,4.92,https://www.airbnb.com/rooms/10041
10042,Charming Haven in Harlem,1159,Benjamin,t,Superhost,Manhattan,Harlem,40.78827,-74.00115,Private room,92,1,92.0,2,46,2026-07-05,1.42,3,Small Host (2-4),Budget (<$100),149,4.97,https://www.airbnb.com/rooms/10042
10043,Boho Penthouse in Fordham,1039,David,f,Standard Host,Bronx,Fordham,40.84441,-73.88299,Entire home/apt,82,2,41.0,3,23,2026-07-05,2.37,1,Single Listing,Budget (<$100),144,4.49,https://www.airbnb.com/rooms/10043
10044,Stunning Penthouse in Chelsea,1168,Charlotte,t,Superhost,Manhattan,Chelsea,40.75629,-73.99856,Private room,174,1,174.0,1,115,2026-06-22,7.6,1,Single Listing,Moderate ($100-$250),285,4.98,https://www.airbnb.com/rooms/10044
10045,Luxury Loft in Cobble Hill,1213,Emma,f,Standard Host,Brooklyn,Cobble Hill,40.64223,-73.92417,Entire home/apt,260,4,65.0,3,47,2026-03-15,2.76,1,Single Listing,Luxury (>$250),41,4.48,https://www.airbnb.com/rooms/10045
10046,Modern Apartment in Pelham Bay,1011,Sarah,f,Standard Host,Bronx,Pelham Bay,40.83875,-73.85322,Private room,55,1,55.0,1,9,2026-07-09,0.28,1,Single Listing,Budget (<$100),315,4.47,https://www.airbnb.com/rooms/10046
10047,Stunning Studio in Bedford-Stuyvesant,1184,Emily,f,Standard Host,Brooklyn,Bedford-Stuyvesant,40.71687,-73.91224,Entire home/apt,196,2,98.0,3,24,2026-07-17,1.23,1,Single Listing,Moderate ($100-$250),347,4.4,https://www.airbnb.com/rooms/10047
10048,Bright Loft in Hell's Kitchen,1228,Michael,f,Standard Host,Manhattan,Hell's Kitchen,40.79346,-73.9591,Entire home/apt,218,3,72.67,2,10,2026-07-12,0.42,1,Single Listing,Moderate ($100-$250),230,4.39,https://www.airbnb.com/rooms/10048
10049,Chic Studio in Forest Hills,1221,Benjamin,f,Standard Host,Queens,Forest Hills,40.75551,-73.8213,Private room,75,2,37.5,3,53,2026-06-29,6.19,2,Small Host (2-4),Budget (<$100),200,4.43,https://www.airbnb.com/rooms/10049
10050,Quiet Retreat in Cobble Hill,1341,Sophia,f,Standard Host,Brooklyn,Cobble Hill,40.65591,-73.97867,Entire home/apt,164,4,41.0,4,21,2026-07-05,0.67,1,Single Listing,Moderate ($100-$250),303,4.5,https://www.airbnb.com/rooms/10050
10051,Sunny Room in St. George,1015,Jessica,t,Superhost,Staten Island,St. George,40.55114,-74.17336,Private room,80,2,40.0,2,51,2026-06-17,5.83,1,Single Listing,Budget (<$100),242,4.92,https://www.airbnb.com/rooms/10051
10052,Quiet Flat in Bushwick,1026,Michael,t,Superhost,Brooklyn,Bushwick,40.6672,-73.93339,Private room,94,2,47.0,2,73,2026-05-25,5.04,1,Single Listing,Budget (<$100),167,4.98,https://www.airbnb.com/rooms/10052
10053,Spacious Brownstone Unit in Chelsea,1131,Olivia,t,Superhost,Manhattan,Chelsea,40.77873,-73.95814,Entire home/apt,339,2,169.5,2,65,2026-06-11,2.04,1,Single Listing,Luxury (>$250),337,4.99,https://www.airbnb.com/rooms/10053
10054,Minimalist Penthouse in SoHo,1186,Michael,f,Standard Host,Manhattan,SoHo,40.77067,-73.9483,Entire home/apt,626,2,313.0,3,25,2026-07-28,0.85,1,Single Listing,Luxury (>$250),281,4.24,https://www.airbnb.com/rooms/10054
10055,Boho Room in Harlem,1309,David,f,Standard Host,Manhattan,Harlem,40.78407,-73.95999,Entire home/apt,386,4,96.5,1,29,2026-06-03,0.91,1,Single Listing,Luxury (>$250),44,4.44,https://www.airbnb.com/rooms/10055
10056,Rustic Suite in Ridgewood,1232,Sarah,t,Superhost,Queens,Ridgewood,40.77453,-73.7614,Entire home/apt,180,5,36.0,7,41,2026-04-29,1.81,3,Small Host (2-4),Moderate ($100-$250),240,4.96,https://www.airbnb.com/rooms/10056
10057,Sunny Loft in Hell's Kitchen,1176,Michael,f,Standard Host,Manhattan,Hell's Kitchen,40.73279,-73.97163,Entire home/apt,297,2,148.5,4,26,2026-06-08,1.61,1,Single Listing,Luxury (>$250),341,4.47,https://www.airbnb.com/rooms/10057
10058,Boho Brownstone Unit in Park Slope,1309,David,t,Superhost,Brooklyn,Park Slope,40.70503,-73.95274,Private room,186,2,93.0,5,47,2026-05-27,1.55,1,Single Listing,Moderate ($100-$250),279,4.96,https://www.airbnb.com/rooms/10058
10059,Bright Flat in Williamsburg,1249,Daniel,t,Superhost,Brooklyn,Williamsburg,40.66796,-73.93222,Entire home/apt,417,2,208.5,2,43,2026-07-24,1.48,1,Single Listing,Luxury (>$250),93,4.99,https://www.airbnb.com/rooms/10059
10060,Quiet Apartment in Long Island City,1122,Benjamin,f,Standard Host,Queens,Long Island City,40.75517,-73.79651,Entire home/apt,122,5,24.4,4,15,2026-06-28,0.65,1,Single Listing,Moderate ($100-$250),205,4.57,https://www.airbnb.com/rooms/10060
10061,Quiet Studio in Jackson Heights,1247,Elena,f,Standard Host,Queens,Jackson Heights,40.67996,-73.83215,Entire home/apt,200,2,100.0,2,17,2026-07-17,0.49,4,Small Host (2-4),Moderate ($100-$250),188,4.54,https://www.airbnb.com/rooms/10061
10062,Cozy Room in SoHo,1015,Carlos,f,Standard Host,Manhattan,SoHo,40.75094,-73.96544,Entire home/apt,911,5,182.2,2,42,2026-05-20,4.13,3,Small Host (2-4),Luxury (>$250),12,4.21,https://www.airbnb.com/rooms/10062
10063,Luxury Flat in Harlem,1057,Olivia,t,Superhost,Manhattan,Harlem,40.75237,-73.98093,Private room,165,1,165.0,1,85,2026-05-17,3.66,1,Single Listing,Moderate ($100-$250),10,4.95,https://www.airbnb.com/rooms/10063
10064,Minimalist Flat in East Village,1279,Noah,f,Standard Host,Manhattan,East Village,40.81157,-73.98991,Shared room,70,2,35.0,1,3,2026-07-28,0.18,1,Single Listing,Budget (<$100),346,4.38,https://www.airbnb.com/rooms/10064
10065,Chic Haven in Greenpoint,1330,Jessica,f,Standard Host,Brooklyn,Greenpoint,40.69378,-73.92688,Entire home/apt,297,4,74.25,2,12,2026-03-24,0.4,1,Single Listing,Luxury (>$250),168,4.63,https://www.airbnb.com/rooms/10065
10066,Bright Brownstone Unit in Chelsea,1336,Carlos,t,Superhost,Manhattan,Chelsea,40.78036,-73.98016,Entire home/apt,671,5,134.2,4,70,2026-07-05,2.62,2,Small Host (2-4),Luxury (>$250),146,4.96,https://www.airbnb.com/rooms/10066
10067,Minimalist Apartment in Financial District,1053,Michael,t,Superhost,Manhattan,Financial District,40.79571,-73.97159,Entire home/apt,201,2,100.5,3,50,2026-07-29,1.68,1,Single Listing,Moderate ($100-$250),217,4.95,https://www.airbnb.com/rooms/10067
10068,Spacious Studio in Riverdale,1065,Michael,t,Superhost,Bronx,Riverdale,40.8554,-73.8473,Entire home/apt,77,4,19.25,2,64,2026-07-05,6.32,1,Single Listing,Budget (<$100),152,4.95,https://www.airbnb.com/rooms/10068
10069,Chic Retreat in Brooklyn Heights,1134,Benjamin,t,Superhost,Brooklyn,Brooklyn Heights,40.62323,-73.95036,Entire home/apt,148,4,37.0,30,52,2026-01-08,1.72,2,Small Host (2-4),Moderate ($100-$250),187,4.89,https://www.airbnb.com/rooms/10069
10070,Spacious Room in Upper West Side,1327,Jessica,f,Standard Host,Manhattan,Upper West Side,40.71493,-73.95244,Private room,89,2,44.5,2,9,2026-04-26,0.53,3,Small Host (2-4),Budget (<$100),323,4.6,https://www.airbnb.com/rooms/10070
10071,Charming Apartment in Hell's Kitchen,1038,David,f,Standard Host,Manhattan,Hell's Kitchen,40.7493,-73.97671,Private room,83,2,41.5,1,20,2026-03-10,1.05,1,Single Listing,Budget (<$100),73,4.57,https://www.airbnb.com/rooms/10071
10072,Rustic Studio in Chelsea,1041,James,t,Superhost,Manhattan,Chelsea,40.79244,-73.99819,Private room,316,3,105.33,3,58,2026-07-21,2.48,1,Single Listing,Luxury (>$250),319,4.93,https://www.airbnb.com/rooms/10072
10073,Modern Penthouse in Astoria,1136,Daniel,f,Standard Host,Queens,Astoria,40.79197,-73.7592,Private room,48,2,24.0,2,40,2026-06-28,5.13,1,Single Listing,Budget (<$100),114,4.55,https://www.airbnb.com/rooms/10073
10074,Rustic Penthouse in Flushing,1067,Elena,f,Standard Host,Queens,Flushing,40.7012,-73.8008,Shared room,35,1,35.0,30,15,2026-06-30,0.47,2,Small Host (2-4),Budget (<$100),91,4.6,https://www.airbnb.com/rooms/10074
10075,Sunny Studio in Harlem,1158,Mia,t,Superhost,Manhattan,Harlem,40.75905,-73.97094,Entire home/apt,136,6,22.67,7,53,2026-06-29,1.69,2,Small Host (2-4),Moderate ($100-$250),197,4.94,https://www.airbnb.com/rooms/10075
10076,Chic Brownstone Unit in Financial District,1198,Noah,f,Standard Host,Manhattan,Financial District,40.78132,-73.98877,Entire home/apt,261,3,87.0,2,73,2026-06-14,2.05,1,Single Listing,Luxury (>$250),83,4.59,https://www.airbnb.com/rooms/10076
10077,Sunny Penthouse in Williamsburg,1266,Benjamin,t,Superhost,Brooklyn,Williamsburg,40.71656,-73.93463,Private room,180,2,90.0,2,61,2026-06-22,2.87,2,Small Host (2-4),Moderate ($100-$250),253,4.94,https://www.airbnb.com/rooms/10077
10078,Boho Suite in Park Slope,1323,Alex,f,Standard Host,Brooklyn,Park Slope,40.72274,-73.9828,Private room,68,1,68.0,4,43,2026-05-17,1.98,1,Single Listing,Budget (<$100),204,4.61,https://www.airbnb.com/rooms/10078
10079,Bright Room in East Village,1212,Daniel,f,Standard Host,Manhattan,East Village,40.79094,-73.9511,Entire home/apt,552,5,110.4,2,10,2026-03-09,0.89,2,Small Host (2-4),Luxury (>$250),191,4.42,https://www.airbnb.com/rooms/10079
10080,Minimalist Apartment in Crown Heights,1153,Olivia,f,Standard Host,Brooklyn,Crown Heights,40.65389,-73.9247,Entire home/apt,185,4,46.25,7,29,2026-06-15,1.25,2,Small Host (2-4),Moderate ($100-$250),212,4.38,https://www.airbnb.com/rooms/10080
10081,Bright Haven in Upper West Side,1336,James,f,Standard Host,Manhattan,Upper West Side,40.7909,-73.97345,Private room,158,1,158.0,1,34,2026-07-17,1.03,1,Single Listing,Moderate ($100-$250),61,4.47,https://www.airbnb.com/rooms/10081
10082,Cozy Brownstone Unit in Harlem,1209,Mia,f,Standard Host,Manhattan,Harlem,40.76906,-73.94593,Private room,140,1,140.0,1,42,2026-03-08,1.23,4,Small Host (2-4),Moderate ($100-$250),100,4.35,https://www.airbnb.com/rooms/10082
10083,Bright Apartment in Long Island City,1020,Alex,t,Superhost,Queens,Long Island City,40.79895,-73.82467,Private room,97,2,48.5,2,71,2026-04-24,5.01,1,Single Listing,Budget (<$100),244,4.98,https://www.airbnb.com/rooms/10083
10084,Charming Penthouse in SoHo,1090,Charlotte,f,Standard Host,Manhattan,SoHo,40.77525,-73.96464,Private room,89,2,44.5,1,74,2026-07-15,4.71,1,Single Listing,Budget (<$100),130,4.49,https://www.airbnb.com/rooms/10084
10085,Chic Haven in Financial District,1032,Emma,f,Standard Host,Manhattan,Financial District,40.81215,-73.96911,Private room,101,1,101.0,30,99,2026-06-26,4.87,1,Single Listing,Moderate ($100-$250),201,4.55,https://www.airbnb.com/rooms/10085
10086,Bright Flat in Crown Heights,1042,Noah,f,Standard Host,Brooklyn,Crown Heights,40.62608,-73.94139,Private room,55,2,27.5,2,7,2026-07-09,0.67,2,Small Host (2-4),Budget (<$100),69,4.34,https://www.airbnb.com/rooms/10086
10087,Quiet Apartment in Cobble Hill,1213,Benjamin,f,Standard Host,Brooklyn,Cobble Hill,40.67023,-73.94136,Entire home/apt,173,4,43.25,30,3,2026-03-20,0.38,1,Single Listing,Moderate ($100-$250),251,4.26,https://www.airbnb.com/rooms/10087
10088,Bright Loft in Park Slope,1194,Liam,t,Superhost,Brooklyn,Park Slope,40.65922,-73.98132,Entire home/apt,388,8,48.5,2,46,2026-07-17,2.65,1,Single Listing,Luxury (>$250),89,4.93,https://www.airbnb.com/rooms/10088
10089,Quiet Room in Greenwich Village,1124,Daniel,t,Superhost,Manhattan,Greenwich Village,40.74789,-74.00222,Private room,97,2,48.5,7,36,2026-07-16,1.18,1,Single Listing,Budget (<$100),348,4.94,https://www.airbnb.com/rooms/10089
10090,Charming Apartment in Tribeca,1321,Sophia,f,Standard Host,Manhattan,Tribeca,40.79296,-73.93217,Private room,110,1,110.0,2,20,2026-07-20,1.33,3,Small Host (2-4),Moderate ($100-$250),133,4.36,https://www.airbnb.com/rooms/10090
10091,Luxury Penthouse in Astoria,1069,Liam,t,Superhost,Queens,Astoria,40.65553,-73.82494,Private room,45,1,45.0,3,97,2026-05-07,8.33,1,Single Listing,Budget (<$100),296,4.93,https://www.airbnb.com/rooms/10091
10092,Bright Haven in Midtown,1246,Emily,f,Standard Host,Manhattan,Midtown,40.74709,-73.96811,Private room,173,2,86.5,7,23,2026-07-06,1.51,1,Single Listing,Moderate ($100-$250),248,4.44,https://www.airbnb.com/rooms/10092
10093,Boho Haven in Greenpoint,1289,Emily,f,Standard Host,Brooklyn,Greenpoint,40.69886,-73.95654,Entire home/apt,129,2,64.5,2,51,2026-02-10,2.26,8,Multi-Listing Host (5+),Moderate ($100-$250),260,4.37,https://www.airbnb.com/rooms/10093
10094,Rustic Haven in Greenpoint,1278,Sarah,f,Standard Host,Brooklyn,Greenpoint,40.66731,-73.92481,Entire home/apt,325,5,65.0,1,6,2026-06-26,0.48,2,Small Host (2-4),Luxury (>$250),336,4.56,https://www.airbnb.com/rooms/10094
10095,Quiet Haven in Williamsburg,1272,James,f,Standard Host,Brooklyn,Williamsburg,40.70984,-73.94288,Entire home/apt,116,2,58.0,2,25,2026-07-15,1.02,1,Single Listing,Moderate ($100-$250),213,4.39,https://www.airbnb.com/rooms/10095
10096,Bright Flat in Crown Heights,1333,Sarah,t,Superhost,Brooklyn,Crown Heights,40.67766,-73.95869,Entire home/apt,429,3,143.0,2,79,2026-07-26,2.49,1,Single Listing,Luxury (>$250),31,4.9,https://www.airbnb.com/rooms/10096
10097,Modern Loft in Williamsburg,1279,Ethan,f,Standard Host,Brooklyn,Williamsburg,40.71194,-73.96162,Entire home/apt,207,2,103.5,2,13,2026-05-26,0.41,2,Small Host (2-4),Moderate ($100-$250),206,4.48,https://www.airbnb.com/rooms/10097
10098,Spacious Room in Greenpoint,1175,Charlotte,f,Standard Host,Brooklyn,Greenpoint,40.67461,-73.91891,Private room,106,3,35.33,3,23,2026-07-27,0.89,2,Small Host (2-4),Moderate ($100-$250),136,4.45,https://www.airbnb.com/rooms/10098
10099,Quiet Loft in Harlem,1003,Olivia,f,Standard Host,Manhattan,Harlem,40.78197,-73.98862,Entire home/apt,333,5,66.6,7,25,2026-05-01,1.05,1,Single Listing,Luxury (>$250),16,4.59,https://www.airbnb.com/rooms/10099
10100,Luxury Haven in Cobble Hill,1087,Liam,t,Superhost,Brooklyn,Cobble Hill,40.6846,-73.88696,Private room,62,1,62.0,3,57,2026-02-09,3.39,1,Single Listing,Budget (<$100),263,4.96,https://www.airbnb.com/rooms/10100
10101,Rustic Suite in Upper West Side,1195,Carlos,f,Standard Host,Manhattan,Upper West Side,40.80316,-73.97035,Private room,174,2,87.0,3,37,2026-07-09,2.06,1,Single Listing,Moderate ($100-$250),334,4.47,https://www.airbnb.com/rooms/10101
10102,Charming Suite in Upper West Side,1289,Daniel,f,Standard Host,Manhattan,Upper West Side,40.75712,-73.96309,Entire home/apt,215,3,71.67,2,46,2026-04-28,1.5,1,Single Listing,Moderate ($100-$250),265,4.53,https://www.airbnb.com/rooms/10102
10103,Quiet Penthouse in Harlem,1307,Mia,f,Standard Host,Manhattan,Harlem,40.77545,-74.00565,Entire home/apt,553,3,184.33,2,24,2026-06-06,2.18,2,Small Host (2-4),Luxury (>$250),340,4.56,https://www.airbnb.com/rooms/10103
10104,Bright Apartment in Pelham Bay,1266,Ava,f,Standard Host,Bronx,Pelham Bay,40.82613,-73.85763,Entire home/apt,114,4,28.5,2,26,2026-07-26,3.86,1,Single Listing,Moderate ($100-$250),53,4.49,https://www.airbnb.com/rooms/10104
10105,Modern Brownstone Unit in SoHo,1244,Emma,f,Standard Host,Manhattan,SoHo,40.77002,-73.96743,Entire home/apt,261,4,65.25,1,81,2026-01-23,3.55,1,Single Listing,Luxury (>$250),217,4.57,https://www.airbnb.com/rooms/10105
10106,Quiet Flat in Financial District,1003,Daniel,t,Superhost,Manhattan,Financial District,40.79844,-73.95498,Entire home/apt,263,5,52.6,3,44,2026-06-17,1.38,1,Single Listing,Luxury (>$250),315,4.95,https://www.airbnb.com/rooms/10106
